run,id,drug_name,fact_type,extraction_method,extraction_confidence,governance_status,consensus_achieved,target_kb,condition_name,meddra_pt,meddra_name,meddra_soc_name,frequency,severity,interactant_name,clinical_effect,mechanism,fda_category,lab_name,ndc_code,strength,source_section_id,created_at
BASELINE,1dc54235-7278-4c97-ac18-bd3bd86e5d29,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,NSAIDs,Increases the risk of gastrointestinal bleeding,Independent effects on hemostasis,,,,,ddbb0205-62ad-4e50-82f6-0151f929f107,2026-02-12 15:06:52.351522+00
BASELINE,e527c6d7-ba1d-4a3c-a8e4-6b0fb726874b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Omeprazole,"Decreased exposure to the active metabolite of clopidogrel by 46% (Day 1) and 42% (Day 5), diminished mean inhibition of platelet aggregation by 47% (24 hours) and 30% (Day 5)",CYP2C19 inhibition,,,,,ddbb0205-62ad-4e50-82f6-0151f929f107,2026-02-12 15:06:52.348949+00
BASELINE,700872dc-0477-462b-9e03-b03015db3cd5,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Diuretics,Excessive reduction of blood pressure,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.873656+00
BASELINE,bfc23b1b-e416-481a-9824-adfb450d9a7b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,CYP2C19 Inhibitors,Reduced plasma concentrations of the active metabolite of clopidogrel and a reduction in platelet inhibition,CYP2C19 inhibition,,,,,ddbb0205-62ad-4e50-82f6-0151f929f107,2026-02-12 15:06:52.345586+00
BASELINE,57f77a01-fc49-4307-a50f-4ccf93158a19,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,CONTRAINDICATED,Aliskiren,"Increased risks of hypotension, syncope, hyperkalemia, and changes in renal function (including acute renal failure)",Dual blockade of the RAS,,,,,45990a4b-e3db-4f11-b97d-e46f67129c91,2026-02-12 15:05:40.01814+00
BASELINE,efe56d80-c56d-4fec-a066-77243f089561,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,ACE inhibitors,"Increased risks of hypotension, syncope, hyperkalemia, and changes in renal function (including acute renal failure)",Dual blockade of the RAS,,,,,45990a4b-e3db-4f11-b97d-e46f67129c91,2026-02-12 15:05:40.014302+00
BASELINE,dfcad247-675b-431c-a532-e30b14f8879a,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,NSAIDs Including Selective COX-2 Inhibitors,"Deterioration of renal function, including possible acute renal failure","",,,,,45990a4b-e3db-4f11-b97d-e46f67129c91,2026-02-12 15:05:40.012142+00
BASELINE,30797de8-6f4e-4409-81c2-d4183ddb9f79,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Lithium,Increases in serum lithium concentrations and lithium toxicity,"",,,,,45990a4b-e3db-4f11-b97d-e46f67129c91,2026-02-12 15:05:40.007986+00
BASELINE,85aad41f-7b19-4436-981a-62f93deaa18b,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Potassium supplements,Significant increases in serum potassium,"",,,,,abed3ca9-4ba8-48ee-98e9-a5caec8a8072,2026-02-12 15:02:26.892888+00
BASELINE,c69b1577-1b3b-4ddd-b0d6-8757f3d34d6c,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,SEVERE,Gemfibrozil,Increased risk of myopathy/rhabdomyolysis,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.957564+00
BASELINE,5bc71517-98f4-4673-a1fb-71fc48555269,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Other Fibrates,Increased risk of myopathy,Not specified,,,,,f87c525a-59de-4de1-980a-cd6fb76b318e,2026-02-12 15:03:17.960802+00
BASELINE,10b18350-4b80-46b2-9745-9d88d03a4e31,"",INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Trichloroethylene,Not specified,Myocardial depression,,,,,de45e272-bb9a-4fd7-88b9-353762753e9e,2026-02-12 15:09:02.936769+00
