run,extraction_method,fact_type,count,freq_pct,meddra_pct,avg_confidence,governance_status,corroborated
BASELINE,LLM_FALLBACK,INTERACTION,76,0.0,0.0,0.750,PENDING_REVIEW,0
BASELINE,LLM_FALLBACK,SAFETY_SIGNAL,348,46.6,100.0,0.750,PENDING_REVIEW,0
BASELINE,STRUCTURED_PARSE,SAFETY_SIGNAL,209,0.0,0.0,0.900,PENDING_REVIEW,209
NEW_P0-P6,LLM_FALLBACK,INTERACTION,46,0.0,0.0,0.750,PENDING_REVIEW,0
NEW_P0-P6,LLM_FALLBACK,SAFETY_SIGNAL,351,42.5,100.0,0.750,PENDING_REVIEW,0
NEW_P0-P6,SPL_PRODUCT,FORMULARY,16,0.0,0.0,0.900,APPROVED,16
NEW_P0-P6,STRUCTURED_PARSE,INTERACTION,3,0.0,0.0,0.800,PENDING_REVIEW,3
NEW_P0-P6,STRUCTURED_PARSE,LAB_REFERENCE,2,0.0,0.0,0.700,PENDING_REVIEW,2
NEW_P0-P6,STRUCTURED_PARSE,REPRODUCTIVE_SAFETY,6,0.0,0.0,0.750,PENDING_REVIEW,6
NEW_P0-P6,STRUCTURED_PARSE,SAFETY_SIGNAL,200,20.5,78.5,0.981,APPROVED,200
