run,id,drug_name,fact_type,extraction_method,extraction_confidence,governance_status,consensus_achieved,target_kb,condition_name,meddra_pt,meddra_name,meddra_soc_name,frequency,severity,interactant_name,clinical_effect,mechanism,fda_category,lab_name,ndc_code,strength,source_section_id,created_at
NEW,00b62e18-211f-4abb-9701-5626b4b77c32,amlodipine,INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Sildenafil,Hypotension,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-13 10:11:18.633167+00
NEW,55e987bf-19a6-406b-92ee-dfcfc4ab7668,amlodipine,INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,CYP3A inducers,Unknown quantitative effects on amlodipine,CYP3A induction,,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-13 10:11:18.630597+00
NEW,3bc3c3f4-5ed2-4c22-ab58-e035f55fc042,amlodipine,INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Cyclosporine,Amlodipine may increase the systemic exposure of cyclosporine,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-13 10:11:18.639067+00
NEW,be585e17-89b2-41a6-af76-b49c8032c102,amlodipine,INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Tacrolimus,Amlodipine may increase the systemic exposure of tacrolimus,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-13 10:11:18.642202+00
NEW,1c7307e0-8dcd-43cb-9493-17da50e09f36,amlodipine,INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,Simvastatin,Increases the systemic exposure of simvastatin,"",,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-13 10:11:18.6358+00
NEW,97294d11-126b-4d0a-82be-8294934ca92e,amlodipine,INTERACTION,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-5,,,,,,MODERATE,CYP3A inhibitors (moderate and strong),Increased systemic exposure to amlodipine,CYP3A inhibition,,,,,dcbff597-4f3e-4954-9035-09a8409e2d29,2026-02-13 10:11:18.625058+00
NEW,97ecc645-2995-4f33-88c1-e0e5b5f8ee94,amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-4,Muscle cramps,10028295,Muscle cramps,"",<1% but >0.1%,MEDIUM,,,,,,,,ad4b2af8-e2e8-4bf7-8f44-f3ccca8e595c,2026-02-13 10:11:10.649064+00
NEW,67e4d1d9-a62c-4e15-873c-129ce108071e,amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-4,Myalgia,10028411,Myalgia,"",<1% but >0.1%,MEDIUM,,,,,,,,ad4b2af8-e2e8-4bf7-8f44-f3ccca8e595c,2026-02-13 10:11:10.65035+00
NEW,a2370bfb-dea8-4b9e-b53e-3dd9387cb6a8,amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-4,Sexual dysfunction,10040477,Sexual dysfunction,"",<1% but >0.1%,MEDIUM,,,,,,,,ad4b2af8-e2e8-4bf7-8f44-f3ccca8e595c,2026-02-13 10:11:10.651605+00
NEW,9a09b002-146d-42d7-8f1f-8006fb8cd466,amlodipine,SAFETY_SIGNAL,LLM_FALLBACK,0.75,PENDING_REVIEW,f,KB-4,Insomnia,10022437,Insomnia,"",<1% but >0.1%,MEDIUM,,,,,,,,ad4b2af8-e2e8-4bf7-8f44-f3ccca8e595c,2026-02-13 10:11:10.652766+00
